"Name","type","date","varName","value"
"Ben McLemore","Countermovement Jump",2019-10-16,"body_weight_kg",94.5
"Ben McLemore","Countermovement Jump",2020-08-02,"body_weight_kg",96
"Ben McLemore","Countermovement Jump",2020-08-09,"body_weight_kg",97.5
"Ben McLemore","Countermovement Jump",2020-08-11,"body_weight_kg",97.3
"Ben McLemore","Countermovement Jump",2020-08-12,"body_weight_kg",96
"Ben McLemore","Countermovement Jump",2020-08-18,"body_weight_kg",98.1
"Ben McLemore","Countermovement Jump",2020-08-31,"body_weight_kg",97.4
"Ben McLemore","Countermovement Jump",2020-09-02,"body_weight_kg",96.9
"Ben McLemore","Countermovement Jump",2020-11-16,"body_weight_kg",98.6
"Ben McLemore","Countermovement Jump",2020-12-01,"body_weight_kg",96.2
"Ben McLemore","Countermovement Jump",2020-12-08,"body_weight_kg",97.21
"Ben McLemore","Countermovement Jump",2020-12-11,"body_weight_kg",94.22
"Ben McLemore","Countermovement Jump",2020-12-17,"body_weight_kg",97.48
"Ben McLemore","Countermovement Jump",2020-12-20,"body_weight_kg",97.35
"Ben McLemore","Countermovement Jump",2021-01-04,"body_weight_kg",97.08
"Ben McLemore","Countermovement Jump",2021-01-08,"body_weight_kg",97.87
"Ben McLemore","Countermovement Jump",2021-01-10,"body_weight_kg",93.84
"Ben McLemore","Countermovement Jump",2021-01-12,"body_weight_kg",94.55
"Ben McLemore","Countermovement Jump",2021-01-14,"body_weight_kg",95.68
"Ben McLemore","Countermovement Jump",2021-01-16,"body_weight_kg",95.55
"Ben McLemore","Countermovement Jump",2021-01-18,"body_weight_kg",97.3
"Ben McLemore","Countermovement Jump",2021-01-20,"body_weight_kg",94.18
"Ben McLemore","Countermovement Jump",2021-01-22,"body_weight_kg",95.55
"Ben McLemore","Countermovement Jump",2021-01-23,"body_weight_kg",95.97
"Ben McLemore","Countermovement Jump",2021-01-26,"body_weight_kg",95.6
"Ben McLemore","Countermovement Jump",2021-02-01,"body_weight_kg",95.08
"Ben McLemore","Countermovement Jump",2021-02-03,"body_weight_kg",94.32
"Ben McLemore","Countermovement Jump",2021-02-04,"body_weight_kg",95.43
