"Date","Name","qb_l","qb_r","qb_t"
2019-12-09,"Danuel House",29,30,59
2019-12-09,"Gary Clark",29,29,58
2019-12-09,"Chris Clemons",27,27,54
2019-12-09,"Isaiah Hartenstein",21,22,43
2019-12-05,"Danuel House",30,29,59
2019-12-05,"Tyson Chandler",29,26,55
2019-12-05,"Chris Clemons",27,26,53
2019-12-05,"Thabo Sefolosha",29,29,58
2019-12-05,"Gary Clark",31,28,59
2019-12-05,"Clint Capela",23,23,46
2019-12-05,"Isaiah Hartenstein",16,16,32
2019-11-30,"Ben McLemore",24,24,48
2019-11-30,"Tyson Chandler",29,29,58
2019-11-30,"Isaiah Hartenstein",20,20,40
2019-11-30,"Chris Clemons",27,27,54
2019-11-30,"Gary Clark",28,27,55
2019-11-27,"Danuel House",29,29,58
2019-11-27,"Chris Clemons",27,28,55
2019-11-27,"Isaiah Hartenstein",20,20,40
2019-11-27,"Gary Clark",28,29,57
2019-11-24,"Danuel House",31,30,61
2019-11-24,"Chris Clemons",27,27,54
2019-11-24,"Isaiah Hartenstein",25,23,48
2019-11-24,"Gary Clark",30,31,61
2019-11-24,"Clint Capela",24,24,48
2019-11-22,"Thabo Sefolosha",29,28,57
2019-11-22,"Isaiah Hartenstein",23,22,45
2019-11-22,"Ben McLemore",27,22,49
2019-11-22,"Chris Clemons",29,27,56
2019-11-22,"Gary Clark",30,30,60
2019-11-22,"Clint Capela",27,21,48
2019-11-20,"Isaiah Hartenstein",25,24,49
2019-11-20,"Danuel House",29,30,59
2019-11-20,"Chris Clemons",26,23,49
2019-11-20,"Tyson Chandler",29,29,58
2019-11-20,"Clint Capela",30,22,52
2019-11-18,"Ben McLemore",21,25,46
2019-11-18,"Danuel House",27,26,53
2019-11-18,"Chris Clemons",28,27,55
2019-11-18,"Clint Capela",32,24,56
2019-11-18,"Gary Clark",30,30,60
2019-11-18,"Isaiah Hartenstein",24,22,46
2019-11-15,"Gary Clark",27,27,54
2019-11-15,"Isaiah Hartenstein",24,24,48
2019-11-15,"Chris Clemons",25,26,51
2019-11-13,"Chris Clemons",24,25,49
2019-11-13,"Ben McLemore",25,27,52
2019-11-13,"Tyson Chandler",28,27,55
2019-11-13,"Gary Clark",29,29,58
2019-11-13,"Clint Capela",23,21,44
2019-11-13,"Isaiah Hartenstein",20,18,38
2019-11-11,"Ben McLemore",26,27,53
2019-11-11,"Danuel House",27,28,55
2019-11-11,"Chris Clemons",27,28,55
2019-11-11,"Tyson Chandler",28,30,58
2019-11-11,"Eric Gordon",27,28,55
2019-11-11,"Gary Clark",28,26,54
2019-11-11,"Clint Capela",27,22,49
2019-11-11,"Austin Rivers",26,26,52
2019-11-09,"Tyson Chandler",29,29,58
2019-11-09,"Thabo Sefolosha",28,30,58
2019-11-09,"Eric Gordon",24,25,49
2019-11-09,"Danuel House",29,28,57
2019-11-09,"Clint Capela",30,25,55
2019-11-09,"Chris Clemons",28,29,57
